fips,state,county,Confirmed,Deaths,Smokers,Obesity,Food Environment index,Exercise,overcrowding,Diabetics,Insufficient Sleep,Traffic Volume,65% Above Population,Rural Population
1001,Alabama,Autauga,19,1,18.08155718,33.3,7.2,69.13012406,1.201923077,11.1,35.90540606,88.45704042,15.56266974,42.00216232
1003,Alabama,Baldwin,78,1,17.4890326,31,8,73.71354895,1.27079175,10.7,33.30586814,86.99742988,20.44334975,42.27909911
1005,Alabama,Barbour,10,0,21.99998453,41.7,5.6,53.16676986,1.688596491,17.6,38.56316713,102.2917622,19.4204413,67.7896347
1007,Alabama,Bibb,17,0,19.11419989,37.6,7.8,16.25136374,0.255319149,14.5,38.1488654,29.33558001,16.47321429,68.35260746
1009,Alabama,Blount,15,0,19.20867197,33.8,8.4,15.63448589,1.891367604,17,35.94501042,33.41178196,18.23651452,89.95150204
1011,Alabama,Bullock,6,0,22.89466401,37.2,4.3,2.501374382,0.112517581,23.7,45.02063587,4.0665382,16.38390215,51.37438153
1013,Alabama,Butler,8,0,21.76533496,43.3,6.6,48.57974889,1.693811075,19.2,41.9110839,19.3110679,20.29979675,71.23215735
1015,Alabama,Calhoun,61,0,20.61256038,38.5,6.9,47.7212158,1.542045707,17.5,41.31434398,109.8991631,17.71747596,33.69682556
1017,Alabama,Chambers,212,8,19.39292705,40.1,6.4,61.86467923,4.036101083,19.9,37.26657479,20.27158691,19.52104715,49.14803449
1019,Alabama,Cherokee,9,0,17.49867379,35,8.3,33.42952788,1.5,15.2,35.35507081,25.90888704,22.97172711,85.73627304
1021,Alabama,Chilton,33,0,20.18897906,37.7,8.1,46.29379282,2.888086643,18.6,35.17456926,28.80120495,16.78481643,86.74472424
1023,Alabama,Choctaw,10,0,18.79324829,41.3,6.4,28.93426654,1.348920863,17.4,38.29117428,17.1898326,22.99665135,100
1025,Alabama,Clarke,19,0,20.57965532,34.1,5.4,25.27000348,1.507064364,22.4,40.84477971,66.28763227,19.87040134,75.98033523
1027,Alabama,Clay,14,0,19.62035415,40.6,7.8,63.78122308,0.91332712,13.5,38.54052487,37.23049033,20.72316384,100
1029,Alabama,Cleburne,12,0,18.37446577,37.3,8,41.48410366,1.713796058,12.5,33.50478468,41.33377646,19.45019017,100
1031,Alabama,Coffee,36,0,17.44475759,34.2,7.5,53.72387283,1.393548387,16.1,37.30473188,58.32119681,16.95467067,47.19508289
1033,Alabama,Colbert,10,1,18.65882106,30.6,7.4,55.73234365,0.678579507,16.2,36.95078304,80.77685451,19.92987838,43.89468656
1035,Alabama,Conecuh,5,0,21.10751297,43,5.6,37.01995767,2.043222004,25.9,42.32037304,34.49578404,22.49735277,80.94950106
1037,Alabama,Coosa,18,1,20.39996562,40.3,6.9,6.421700321,1.664684899,20.8,36.80937197,24.29286885,23.15445637,100
1039,Alabama,Covington,13,0,19.24945154,31.7,7.6,50.23434397,1.581027668,15.3,35.91244884,42.46334895,21.06202347,69.65179399
1041,Alabama,Crenshaw,3,0,18.64692957,38,6.2,22.35006472,0.718894009,18.2,37.55186144,57.6469532,19.01765046,100
1043,Alabama,Cullman,39,1,17.90107122,36.9,8.2,41.65360794,1.753539254,19.3,35.37426646,51.37029012,18.51106158,73.23955924
1045,Alabama,Dale,12,0,20.05739493,37.2,6.7,46.38713657,1.463155094,15.8,40.84584768,41.48575449,16.89271999,50.88853953
1047,Alabama,Dallas,14,0,24.08899101,43.1,4.6,59.63715199,4.440993789,15.9,42.32435318,60.7083347,18.06577917,45.63897764
1049,Alabama,DeKalb,28,0,21.02827079,29.2,8.2,45.03789956,2.881902459,12.8,35.81592162,53.00399897,17.26132941,90.1306445
1051,Alabama,Elmore,37,0,17.45250185,34.3,7.6,51.73070376,1.142263759,15.8,38.42432624,57.06195387,15.14281876,54.18836614
1053,Alabama,Escambia,10,0,22.41258458,39.4,6.6,48.13017041,2.29035833,18.8,39.74832963,35.83380504,17.94927615,63.51157389
1055,Alabama,Etowah,78,7,20.1473986,35.5,7.1,49.49439816,1.619433198,15.7,40.83559392,140.0436571,19.01152184,37.48348176
1057,Alabama,Fayette,4,0,18.00159326,41,7.9,34.16275158,1.386861314,23.3,38.91526204,34.0756081,21.12821761,80.23316513
1059,Alabama,Franklin,10,0,19.25058304,34.3,7.9,58.14723694,4.104318085,14.8,38.42066779,40.9263719,16.88613972,70.36651527
1061,Alabama,Geneva,1,0,20.00360328,38.7,7.8,20.20530049,1.689347724,16.9,36.92114575,44.82286424,20.29718021,89.64165734
1063,Alabama,Greene,18,0,24.63281871,35.5,3.2,6.224433389,3.220611916,14.5,45.23545272,35.06579969,22.31264424,100
1065,Alabama,Hale,15,0,22.07729134,40.4,6.1,29.89847716,2.840336135,17.8,41.79543606,42.62149223,19.21091946,89.16878173
1067,Alabama,Henry,13,0,18.42984544,36.3,7.9,25.30921281,0.878477306,16.6,38.11461866,29.3180034,22.72066942,87.75286094
1069,Alabama,Houston,47,1,19.24978279,38.1,7.1,66.54455572,1.219357297,13.5,37.04631197,139.9573014,17.79855236,33.80405133
1071,Alabama,Jackson,26,2,19.95892088,38.7,7.9,47.19033573,2.030584106,16.5,38.04265797,29.91325272,20.04986856,77.01730325
1073,Alabama,Jefferson,617,15,17.62204526,34.6,6.3,78.62774995,1.375226817,12.9,36.34513264,419.0718469,15.85727287,9.833765145
1075,Alabama,Lamar,8,0,20.430552,35.7,7.8,10.3131008,0.981697171,18.8,37.87654685,28.62064269,21.65559087,100
1077,Alabama,Lauderdale,22,4,16.6560043,32.5,7.6,65.49202343,1.212200209,13.8,35.05816101,108.4593976,20.09265373,49.29510619
1079,Alabama,Lawrence,8,0,20.18764616,32.6,8,48.98511896,1.561561562,19.3,38.71894829,30.07263451,18.66371332,91.28978712
1081,Alabama,Lee,250,9,17.56014041,29.9,6.4,67.74904276,1.986183074,9,36.5670481,120.0342777,11.88293349,27.40949896
